Ursprungsname;Anteil_NA;Anzahl_unters_Werte;Analysename
t_grundbuch.item.grundbuchblatt.520;99.96;1;
t_grundbuch.item.grundbuchblatt.521;99.96;1;
t_grundbuch.item.grundbuchblatt.522;99.96;1;
t_grundbuch.item.grundbuchblatt.523;99.96;1;
t_grundbuch.item.grundbuchblatt.524;99.96;1;
t_grundbuch.item.grundbuchblatt.525;99.96;1;
t_grundbuch.item.grundbuchblatt.526;99.96;1;
t_grundbuch.item.grundbuchblatt.527;99.96;1;
t_grundbuch.item.grundbuchblatt.528;99.96;1;
t_grundbuch.item.grundbuchblatt.529;99.96;1;
t_grundbuch.item.grundbuchblatt.53;99.71;7;
t_grundbuch.item.grundbuchblatt.530;99.96;1;
t_grundbuch.item.grundbuchblatt.531;99.96;1;
t_grundbuch.item.grundbuchblatt.532;99.96;1;
t_grundbuch.item.grundbuchblatt.533;99.96;1;
t_grundbuch.item.grundbuchblatt.534;99.96;1;
t_grundbuch.item.grundbuchblatt.535;99.96;1;
t_grundbuch.item.grundbuchblatt.536;99.96;1;
t_grundbuch.item.grundbuchblatt.537;99.96;1;
t_grundbuch.item.grundbuchblatt.538;99.96;1;
t_grundbuch.item.grundbuchblatt.539;99.96;1;
t_grundbuch.item.grundbuchblatt.54;99.71;7;
t_grundbuch.item.grundbuchblatt.540;99.96;1;
t_grundbuch.item.grundbuchblatt.541;99.96;1;
t_grundbuch.item.grundbuchblatt.542;99.96;1;
t_grundbuch.item.grundbuchblatt.543;99.96;1;
t_grundbuch.item.grundbuchblatt.544;99.96;1;
t_grundbuch.item.grundbuchblatt.545;99.96;1;
t_grundbuch.item.grundbuchblatt.546;99.96;1;
t_grundbuch.item.grundbuchblatt.547;99.96;1;
t_grundbuch.item.grundbuchblatt.548;99.96;1;
t_grundbuch.item.grundbuchblatt.549;99.96;1;
t_grundbuch.item.grundbuchblatt.55;99.74;6;
t_grundbuch.item.grundbuchblatt.550;99.96;1;
t_grundbuch.item.grundbuchblatt.551;99.96;1;
t_grundbuch.item.grundbuchblatt.552;99.96;1;
t_grundbuch.item.grundbuchblatt.553;99.96;1;
t_grundbuch.item.grundbuchblatt.554;99.96;1;
t_grundbuch.item.grundbuchblatt.555;99.96;1;
t_grundbuch.item.grundbuchblatt.556;99.96;1;
t_grundbuch.item.grundbuchblatt.557;99.96;1;
t_grundbuch.item.grundbuchblatt.558;99.96;1;
t_grundbuch.item.grundbuchblatt.559;99.96;1;
t_grundbuch.item.grundbuchblatt.56;99.74;6;
t_grundbuch.item.grundbuchblatt.560;99.96;1;
t_grundbuch.item.grundbuchblatt.561;99.96;1;
t_grundbuch.item.grundbuchblatt.562;99.96;1;
t_grundbuch.item.grundbuchblatt.57;99.74;7;
t_grundbuch.item.grundbuchblatt.58;99.74;7;
t_grundbuch.item.grundbuchblatt.59;99.74;7;
t_grundbuch.item.grundbuchblatt.60;99.74;7;
t_grundbuch.item.grundbuchblatt.61;99.74;7;
t_grundbuch.item.grundbuchblatt.62;99.74;7;
t_grundbuch.item.grundbuchblatt.63;99.74;7;
t_grundbuch.item.grundbuchblatt.64;99.78;6;
t_grundbuch.item.grundbuchblatt.65;99.78;6;
t_grundbuch.item.grundbuchblatt.66;99.78;5;
t_grundbuch.item.grundbuchblatt.67;99.78;5;
t_grundbuch.item.grundbuchblatt.68;99.78;5;
t_grundbuch.item.grundbuchblatt.69;99.82;4;
t_grundbuch.item.grundbuchblatt.70;99.82;4;
t_grundbuch.item.grundbuchblatt.71;99.82;4;
t_grundbuch.item.grundbuchblatt.72;99.82;4;
t_grundbuch.item.grundbuchblatt.73;99.85;3;
t_grundbuch.item.grundbuchblatt.74;99.85;3;
t_grundbuch.item.grundbuchblatt.75;99.85;3;
t_grundbuch.item.grundbuchblatt.76;99.85;3;
t_grundbuch.item.grundbuchblatt.77;99.85;3;
t_grundbuch.item.grundbuchblatt.78;99.85;3;
t_grundbuch.item.grundbuchblatt.79;99.85;3;
t_grundbuch.item.grundbuchblatt.80;99.85;3;
t_grundbuch.item.grundbuchblatt.81;99.85;3;
t_grundbuch.item.grundbuchblatt.82;99.85;3;
t_grundbuch.item.grundbuchblatt.83;99.85;3;
t_grundbuch.item.grundbuchblatt.84;99.85;3;
t_grundbuch.item.grundbuchblatt.85;99.89;2;
t_grundbuch.item.grundbuchblatt.86;99.89;2;
t_grundbuch.item.grundbuchblatt.87;99.89;2;
t_grundbuch.item.grundbuchblatt.88;99.89;2;
t_grundbuch.item.grundbuchblatt.89;99.89;2;
t_grundbuch.item.grundbuchblatt.90;99.89;2;
t_grundbuch.item.grundbuchblatt.91;99.89;2;
t_grundbuch.item.grundbuchblatt.92;99.89;2;
t_grundbuch.item.grundbuchblatt.93;99.89;2;
t_grundbuch.item.grundbuchblatt.94;99.89;2;
t_grundbuch.item.grundbuchblatt.95;99.89;2;
t_grundbuch.item.grundbuchblatt.96;99.96;1;
t_grundbuch.item.grundbuchblatt.97;99.96;1;
t_grundbuch.item.grundbuchblatt.98;99.96;1;
t_grundbuch.item.grundbuchblatt.99;99.96;1;
t_grundbuch.item.l_grundbuch;0.15;7;
t_grundbuch.item.l_grundbuch.02;76.74;7;
t_grundbuch.item.l_grundbuch.03;93.84;6;
t_grundbuch.item.l_grundbuch.04;95.47;5;
t_grundbuch.item.l_grundbuch.05;96.61;5;
t_grundbuch.item.l_grundbuch.06;96.9;5;
t_grundbuch.item.l_grundbuch.07;97.42;4;
t_grundbuch.item.l_grundbuch.08;97.53;4;
t_grundbuch.item.l_grundbuch.09;98.23;4;
t_grundbuch.item.l_grundbuch.10;98.27;4;
t_grundbuch.item.l_grundbuch.100;99.96;1;
t_grundbuch.item.l_grundbuch.11;98.3;4;
t_grundbuch.item.l_grundbuch.110;99.96;1;
t_grundbuch.item.l_grundbuch.111;99.96;1;
t_grundbuch.item.l_grundbuch.112;99.96;1;
t_grundbuch.item.l_grundbuch.113;99.96;1;
t_grundbuch.item.l_grundbuch.114;99.96;1;
t_grundbuch.item.l_grundbuch.115;99.96;1;
t_grundbuch.item.l_grundbuch.116;99.96;1;
t_grundbuch.item.l_grundbuch.117;99.96;1;
t_grundbuch.item.l_grundbuch.118;99.96;1;
t_grundbuch.item.l_grundbuch.119;99.96;1;
t_grundbuch.item.l_grundbuch.12;98.34;4;
t_grundbuch.item.l_grundbuch.120;99.96;1;
t_grundbuch.item.l_grundbuch.121;99.96;1;
t_grundbuch.item.l_grundbuch.122;99.96;1;
t_grundbuch.item.l_grundbuch.123;99.96;1;
t_grundbuch.item.l_grundbuch.124;99.96;1;
t_grundbuch.item.l_grundbuch.125;99.96;1;
t_grundbuch.item.l_grundbuch.126;99.96;1;
t_grundbuch.item.l_grundbuch.127;99.96;1;
t_grundbuch.item.l_grundbuch.128;99.96;1;
t_grundbuch.item.l_grundbuch.129;99.96;1;
t_grundbuch.item.l_grundbuch.13;98.42;4;
t_grundbuch.item.l_grundbuch.130;99.96;1;
t_grundbuch.item.l_grundbuch.131;99.96;1;
t_grundbuch.item.l_grundbuch.132;99.96;1;
t_grundbuch.item.l_grundbuch.133;99.96;1;
t_grundbuch.item.l_grundbuch.134;99.96;1;
t_grundbuch.item.l_grundbuch.135;99.96;1;
t_grundbuch.item.l_grundbuch.136;99.96;1;
t_grundbuch.item.l_grundbuch.137;99.96;1;
t_grundbuch.item.l_grundbuch.138;99.96;1;
t_grundbuch.item.l_grundbuch.139;99.96;1;
t_grundbuch.item.l_grundbuch.14;98.42;4;
t_grundbuch.item.l_grundbuch.140;99.96;1;
t_grundbuch.item.l_grundbuch.141;99.96;1;
t_grundbuch.item.l_grundbuch.142;99.96;1;
t_grundbuch.item.l_grundbuch.143;99.96;1;
t_grundbuch.item.l_grundbuch.144;99.96;1;
t_grundbuch.item.l_grundbuch.145;99.96;1;
t_grundbuch.item.l_grundbuch.146;99.96;1;
t_grundbuch.item.l_grundbuch.147;99.96;1;
t_grundbuch.item.l_grundbuch.148;99.96;1;
t_grundbuch.item.l_grundbuch.149;99.96;1;
t_grundbuch.item.l_grundbuch.15;98.71;4;
t_grundbuch.item.l_grundbuch.150;99.96;1;
t_grundbuch.item.l_grundbuch.151;99.96;1;
t_grundbuch.item.l_grundbuch.152;99.96;1;
t_grundbuch.item.l_grundbuch.153;99.96;1;
t_grundbuch.item.l_grundbuch.154;99.96;1;
t_grundbuch.item.l_grundbuch.155;99.96;1;
t_grundbuch.item.l_grundbuch.156;99.96;1;
t_grundbuch.item.l_grundbuch.157;99.96;1;
t_grundbuch.item.l_grundbuch.158;99.96;1;
t_grundbuch.item.l_grundbuch.159;99.96;1;
t_grundbuch.item.l_grundbuch.16;98.75;3;
t_grundbuch.item.l_grundbuch.160;99.96;1;
t_grundbuch.item.l_grundbuch.161;99.96;1;
t_grundbuch.item.l_grundbuch.162;99.96;1;
t_grundbuch.item.l_grundbuch.163;99.96;1;
t_grundbuch.item.l_grundbuch.164;99.96;1;
t_grundbuch.item.l_grundbuch.165;99.96;1;
t_grundbuch.item.l_grundbuch.166;99.96;1;
t_grundbuch.item.l_grundbuch.167;99.96;1;
t_grundbuch.item.l_grundbuch.168;99.96;1;
t_grundbuch.item.l_grundbuch.169;99.96;1;
t_grundbuch.item.l_grundbuch.17;98.82;3;
t_grundbuch.item.l_grundbuch.170;99.96;1;
t_grundbuch.item.l_grundbuch.171;99.96;1;
t_grundbuch.item.l_grundbuch.172;99.96;1;
t_grundbuch.item.l_grundbuch.173;99.96;1;
t_grundbuch.item.l_grundbuch.174;99.96;1;
t_grundbuch.item.l_grundbuch.175;99.96;1;
t_grundbuch.item.l_grundbuch.176;99.96;1;
t_grundbuch.item.l_grundbuch.177;99.96;1;
t_grundbuch.item.l_grundbuch.178;99.96;1;
t_grundbuch.item.l_grundbuch.179;99.96;1;
t_grundbuch.item.l_grundbuch.18;99;3;
t_grundbuch.item.l_grundbuch.180;99.96;1;
t_grundbuch.item.l_grundbuch.181;99.96;1;
t_grundbuch.item.l_grundbuch.182;99.96;1;
t_grundbuch.item.l_grundbuch.183;99.96;1;
t_grundbuch.item.l_grundbuch.184;99.96;1;
t_grundbuch.item.l_grundbuch.185;99.96;1;
t_grundbuch.item.l_grundbuch.186;99.96;1;
t_grundbuch.item.l_grundbuch.187;99.96;1;
t_grundbuch.item.l_grundbuch.188;99.96;1;
t_grundbuch.item.l_grundbuch.189;99.96;1;
t_grundbuch.item.l_grundbuch.19;99.08;3;
t_grundbuch.item.l_grundbuch.190;99.96;1;
t_grundbuch.item.l_grundbuch.191;99.96;1;
t_grundbuch.item.l_grundbuch.192;99.96;1;
t_grundbuch.item.l_grundbuch.193;99.96;1;
t_grundbuch.item.l_grundbuch.194;99.96;1;
t_grundbuch.item.l_grundbuch.195;99.96;1;
t_grundbuch.item.l_grundbuch.196;99.96;1;
t_grundbuch.item.l_grundbuch.197;99.96;1;
t_grundbuch.item.l_grundbuch.198;99.96;1;
t_grundbuch.item.l_grundbuch.199;99.96;1;
t_grundbuch.item.l_grundbuch.20;99.08;3;
t_grundbuch.item.l_grundbuch.200;99.96;1;
t_grundbuch.item.l_grundbuch.201;99.96;1;
t_grundbuch.item.l_grundbuch.202;99.96;1;
t_grundbuch.item.l_grundbuch.203;99.96;1;
t_grundbuch.item.l_grundbuch.204;99.96;1;
t_grundbuch.item.l_grundbuch.205;99.96;1;
t_grundbuch.item.l_grundbuch.206;99.96;1;
t_grundbuch.item.l_grundbuch.207;99.96;1;
t_grundbuch.item.l_grundbuch.208;99.96;1;
t_grundbuch.item.l_grundbuch.209;99.96;1;
t_grundbuch.item.l_grundbuch.21;99.12;3;
t_grundbuch.item.l_grundbuch.210;99.96;1;
t_grundbuch.item.l_grundbuch.211;99.96;1;
t_grundbuch.item.l_grundbuch.212;99.96;1;
t_grundbuch.item.l_grundbuch.213;99.96;1;
t_grundbuch.item.l_grundbuch.214;99.96;1;
t_grundbuch.item.l_grundbuch.215;99.96;1;
t_grundbuch.item.l_grundbuch.216;99.96;1;
t_grundbuch.item.l_grundbuch.217;99.96;1;
t_grundbuch.item.l_grundbuch.218;99.96;1;
t_grundbuch.item.l_grundbuch.219;99.96;1;
t_grundbuch.item.l_grundbuch.22;99.15;3;
t_grundbuch.item.l_grundbuch.220;99.96;1;
t_grundbuch.item.l_grundbuch.221;99.96;1;
t_grundbuch.item.l_grundbuch.222;99.96;1;
t_grundbuch.item.l_grundbuch.223;99.96;1;
t_grundbuch.item.l_grundbuch.224;99.96;1;
t_grundbuch.item.l_grundbuch.225;99.96;1;
t_grundbuch.item.l_grundbuch.226;99.96;1;
t_grundbuch.item.l_grundbuch.227;99.96;1;
t_grundbuch.item.l_grundbuch.228;99.96;1;
t_grundbuch.item.l_grundbuch.229;99.96;1;
t_grundbuch.item.l_grundbuch.23;99.15;3;
t_grundbuch.item.l_grundbuch.230;99.96;1;
t_grundbuch.item.l_grundbuch.231;99.96;1;
t_grundbuch.item.l_grundbuch.232;99.96;1;
t_grundbuch.item.l_grundbuch.233;99.96;1;
t_grundbuch.item.l_grundbuch.234;99.96;1;
t_grundbuch.item.l_grundbuch.235;99.96;1;
t_grundbuch.item.l_grundbuch.236;99.96;1;
t_grundbuch.item.l_grundbuch.237;99.96;1;
t_grundbuch.item.l_grundbuch.238;99.96;1;
t_grundbuch.item.l_grundbuch.239;99.96;1;
t_grundbuch.item.l_grundbuch.24;99.15;3;
t_grundbuch.item.l_grundbuch.240;99.96;1;
t_grundbuch.item.l_grundbuch.241;99.96;1;
t_grundbuch.item.l_grundbuch.242;99.96;1;
t_grundbuch.item.l_grundbuch.243;99.96;1;
t_grundbuch.item.l_grundbuch.244;99.96;1;
t_grundbuch.item.l_grundbuch.245;99.96;1;
t_grundbuch.item.l_grundbuch.246;99.96;1;
t_grundbuch.item.l_grundbuch.247;99.96;1;
t_grundbuch.item.l_grundbuch.248;99.96;1;
t_grundbuch.item.l_grundbuch.249;99.96;1;
t_grundbuch.item.l_grundbuch.25;99.23;3;
t_grundbuch.item.l_grundbuch.250;99.96;1;
t_grundbuch.item.l_grundbuch.251;99.96;1;
t_grundbuch.item.l_grundbuch.252;99.96;1;
t_grundbuch.item.l_grundbuch.253;99.96;1;
t_grundbuch.item.l_grundbuch.254;99.96;1;
t_grundbuch.item.l_grundbuch.255;99.96;1;
t_grundbuch.item.l_grundbuch.256;99.96;1;
t_grundbuch.item.l_grundbuch.257;99.96;1;
t_grundbuch.item.l_grundbuch.258;99.96;1;
t_grundbuch.item.l_grundbuch.259;99.96;1;
t_grundbuch.item.l_grundbuch.26;99.26;3;
t_grundbuch.item.l_grundbuch.260;99.96;1;
t_grundbuch.item.l_grundbuch.261;99.96;1;
t_grundbuch.item.l_grundbuch.262;99.96;1;
t_grundbuch.item.l_grundbuch.263;99.96;1;
t_grundbuch.item.l_grundbuch.264;99.96;1;
t_grundbuch.item.l_grundbuch.265;99.96;1;
t_grundbuch.item.l_grundbuch.266;99.96;1;
t_grundbuch.item.l_grundbuch.267;99.96;1;
t_grundbuch.item.l_grundbuch.268;99.96;1;
t_grundbuch.item.l_grundbuch.269;99.96;1;
t_grundbuch.item.l_grundbuch.27;99.26;3;
t_grundbuch.item.l_grundbuch.270;99.96;1;
t_grundbuch.item.l_grundbuch.271;99.96;1;
t_grundbuch.item.l_grundbuch.272;99.96;1;
t_grundbuch.item.l_grundbuch.273;99.96;1;
t_grundbuch.item.l_grundbuch.274;99.96;1;
t_grundbuch.item.l_grundbuch.275;99.96;1;
t_grundbuch.item.l_grundbuch.276;99.96;1;
t_grundbuch.item.l_grundbuch.277;99.96;1;
t_grundbuch.item.l_grundbuch.278;99.96;1;
t_grundbuch.item.l_grundbuch.279;99.96;1;
t_grundbuch.item.l_grundbuch.28;99.34;3;
t_grundbuch.item.l_grundbuch.280;99.96;1;
t_grundbuch.item.l_grundbuch.281;99.96;1;
t_grundbuch.item.l_grundbuch.282;99.96;1;
t_grundbuch.item.l_grundbuch.283;99.96;1;
t_grundbuch.item.l_grundbuch.284;99.96;1;
t_grundbuch.item.l_grundbuch.285;99.96;1;
t_grundbuch.item.l_grundbuch.286;99.96;1;
t_grundbuch.item.l_grundbuch.287;99.96;1;
t_grundbuch.item.l_grundbuch.288;99.96;1;
t_grundbuch.item.l_grundbuch.289;99.96;1;
t_grundbuch.item.l_grundbuch.29;99.45;3;
t_grundbuch.item.l_grundbuch.290;99.96;1;
t_grundbuch.item.l_grundbuch.291;99.96;1;
t_grundbuch.item.l_grundbuch.292;99.96;1;
t_grundbuch.item.l_grundbuch.293;99.96;1;
t_grundbuch.item.l_grundbuch.294;99.96;1;
t_grundbuch.item.l_grundbuch.295;99.96;1;
t_grundbuch.item.l_grundbuch.296;99.96;1;
t_grundbuch.item.l_grundbuch.297;99.96;1;
t_grundbuch.item.l_grundbuch.298;99.96;1;
t_grundbuch.item.l_grundbuch.299;99.96;1;
t_grundbuch.item.l_grundbuch.30;99.48;3;
t_grundbuch.item.l_grundbuch.300;99.96;1;
t_grundbuch.item.l_grundbuch.301;99.96;1;
t_grundbuch.item.l_grundbuch.302;99.96;1;
t_grundbuch.item.l_grundbuch.303;99.96;1;
t_grundbuch.item.l_grundbuch.304;99.96;1;
t_grundbuch.item.l_grundbuch.305;99.96;1;
t_grundbuch.item.l_grundbuch.306;99.96;1;
t_grundbuch.item.l_grundbuch.307;99.96;1;
t_grundbuch.item.l_grundbuch.308;99.96;1;
t_grundbuch.item.l_grundbuch.309;99.96;1;
t_grundbuch.item.l_grundbuch.31;99.48;3;
t_grundbuch.item.l_grundbuch.310;99.96;1;
t_grundbuch.item.l_grundbuch.311;99.96;1;
t_grundbuch.item.l_grundbuch.312;99.96;1;
t_grundbuch.item.l_grundbuch.313;99.96;1;
t_grundbuch.item.l_grundbuch.314;99.96;1;
t_grundbuch.item.l_grundbuch.315;99.96;1;
t_grundbuch.item.l_grundbuch.316;99.96;1;
t_grundbuch.item.l_grundbuch.317;99.96;1;
t_grundbuch.item.l_grundbuch.318;99.96;1;
t_grundbuch.item.l_grundbuch.319;99.96;1;
t_grundbuch.item.l_grundbuch.32;99.48;3;
t_grundbuch.item.l_grundbuch.320;99.96;1;
t_grundbuch.item.l_grundbuch.321;99.96;1;
t_grundbuch.item.l_grundbuch.322;99.96;1;
t_grundbuch.item.l_grundbuch.323;99.96;1;
t_grundbuch.item.l_grundbuch.324;99.96;1;
t_grundbuch.item.l_grundbuch.325;99.96;1;
t_grundbuch.item.l_grundbuch.326;99.96;1;
t_grundbuch.item.l_grundbuch.327;99.96;1;
t_grundbuch.item.l_grundbuch.328;99.96;1;
t_grundbuch.item.l_grundbuch.329;99.96;1;
t_grundbuch.item.l_grundbuch.33;99.48;3;
t_grundbuch.item.l_grundbuch.330;99.96;1;
t_grundbuch.item.l_grundbuch.331;99.96;1;
t_grundbuch.item.l_grundbuch.332;99.96;1;
t_grundbuch.item.l_grundbuch.333;99.96;1;
t_grundbuch.item.l_grundbuch.334;99.96;1;
t_grundbuch.item.l_grundbuch.335;99.96;1;
t_grundbuch.item.l_grundbuch.336;99.96;1;
t_grundbuch.item.l_grundbuch.337;99.96;1;
t_grundbuch.item.l_grundbuch.338;99.96;1;
t_grundbuch.item.l_grundbuch.339;99.96;1;
t_grundbuch.item.l_grundbuch.34;99.52;3;
t_grundbuch.item.l_grundbuch.340;99.96;1;
t_grundbuch.item.l_grundbuch.341;99.96;1;
t_grundbuch.item.l_grundbuch.342;99.96;1;
t_grundbuch.item.l_grundbuch.343;99.96;1;
t_grundbuch.item.l_grundbuch.344;99.96;1;
t_grundbuch.item.l_grundbuch.345;99.96;1;
t_grundbuch.item.l_grundbuch.346;99.96;1;
t_grundbuch.item.l_grundbuch.347;99.96;1;
t_grundbuch.item.l_grundbuch.348;99.96;1;
t_grundbuch.item.l_grundbuch.349;99.96;1;
t_grundbuch.item.l_grundbuch.35;99.52;3;
t_grundbuch.item.l_grundbuch.350;99.96;1;
t_grundbuch.item.l_grundbuch.351;99.96;1;
t_grundbuch.item.l_grundbuch.352;99.96;1;
t_grundbuch.item.l_grundbuch.353;99.96;1;
t_grundbuch.item.l_grundbuch.354;99.96;1;
t_grundbuch.item.l_grundbuch.355;99.96;1;
t_grundbuch.item.l_grundbuch.356;99.96;1;
t_grundbuch.item.l_grundbuch.357;99.96;1;
t_grundbuch.item.l_grundbuch.358;99.96;1;
t_grundbuch.item.l_grundbuch.359;99.96;1;
t_grundbuch.item.l_grundbuch.36;99.59;3;
t_grundbuch.item.l_grundbuch.360;99.96;1;
t_grundbuch.item.l_grundbuch.361;99.96;1;
t_grundbuch.item.l_grundbuch.362;99.96;1;
t_grundbuch.item.l_grundbuch.363;99.96;1;
t_grundbuch.item.l_grundbuch.364;99.96;1;
t_grundbuch.item.l_grundbuch.365;99.96;1;
t_grundbuch.item.l_grundbuch.366;99.96;1;
t_grundbuch.item.l_grundbuch.367;99.96;1;
t_grundbuch.item.l_grundbuch.368;99.96;1;
t_grundbuch.item.l_grundbuch.369;99.96;1;
t_grundbuch.item.l_grundbuch.37;99.59;3;
t_grundbuch.item.l_grundbuch.370;99.96;1;
t_grundbuch.item.l_grundbuch.371;99.96;1;
t_grundbuch.item.l_grundbuch.372;99.96;1;
t_grundbuch.item.l_grundbuch.373;99.96;1;
t_grundbuch.item.l_grundbuch.374;99.96;1;
t_grundbuch.item.l_grundbuch.375;99.96;1;
t_grundbuch.item.l_grundbuch.376;99.96;1;
t_grundbuch.item.l_grundbuch.377;99.96;1;
t_grundbuch.item.l_grundbuch.378;99.96;1;
t_grundbuch.item.l_grundbuch.379;99.96;1;
t_grundbuch.item.l_grundbuch.38;99.59;3;
t_grundbuch.item.l_grundbuch.380;99.96;1;
t_grundbuch.item.l_grundbuch.381;99.96;1;
t_grundbuch.item.l_grundbuch.382;99.96;1;
t_grundbuch.item.l_grundbuch.383;99.96;1;
t_grundbuch.item.l_grundbuch.384;99.96;1;
t_grundbuch.item.l_grundbuch.385;99.96;1;
t_grundbuch.item.l_grundbuch.386;99.96;1;
t_grundbuch.item.l_grundbuch.387;99.96;1;
t_grundbuch.item.l_grundbuch.388;99.96;1;
t_grundbuch.item.l_grundbuch.389;99.96;1;
t_grundbuch.item.l_grundbuch.39;99.59;3;
t_grundbuch.item.l_grundbuch.390;99.96;1;
t_grundbuch.item.l_grundbuch.391;99.96;1;
t_grundbuch.item.l_grundbuch.392;99.96;1;
t_grundbuch.item.l_grundbuch.393;99.96;1;
t_grundbuch.item.l_grundbuch.394;99.96;1;
t_grundbuch.item.l_grundbuch.395;99.96;1;
t_grundbuch.item.l_grundbuch.396;99.96;1;
t_grundbuch.item.l_grundbuch.397;99.96;1;
t_grundbuch.item.l_grundbuch.398;99.96;1;
t_grundbuch.item.l_grundbuch.399;99.96;1;
t_grundbuch.item.l_grundbuch.40;99.67;3;
t_grundbuch.item.l_grundbuch.400;99.96;1;
t_grundbuch.item.l_grundbuch.401;99.96;1;
t_grundbuch.item.l_grundbuch.402;99.96;1;
t_grundbuch.item.l_grundbuch.403;99.96;1;
t_grundbuch.item.l_grundbuch.404;99.96;1;
t_grundbuch.item.l_grundbuch.405;99.96;1;
t_grundbuch.item.l_grundbuch.406;99.96;1;
t_grundbuch.item.l_grundbuch.407;99.96;1;
t_grundbuch.item.l_grundbuch.408;99.96;1;
t_grundbuch.item.l_grundbuch.409;99.96;1;
t_grundbuch.item.l_grundbuch.41;99.67;3;
t_grundbuch.item.l_grundbuch.410;99.96;1;
t_grundbuch.item.l_grundbuch.411;99.96;1;
t_grundbuch.item.l_grundbuch.412;99.96;1;
t_grundbuch.item.l_grundbuch.413;99.96;1;
t_grundbuch.item.l_grundbuch.414;99.96;1;
t_grundbuch.item.l_grundbuch.415;99.96;1;
t_grundbuch.item.l_grundbuch.416;99.96;1;
t_grundbuch.item.l_grundbuch.417;99.96;1;
t_grundbuch.item.l_grundbuch.418;99.96;1;
t_grundbuch.item.l_grundbuch.419;99.96;1;
t_grundbuch.item.l_grundbuch.42;99.67;3;
t_grundbuch.item.l_grundbuch.420;99.96;1;
t_grundbuch.item.l_grundbuch.421;99.96;1;
t_grundbuch.item.l_grundbuch.422;99.96;1;
t_grundbuch.item.l_grundbuch.423;99.96;1;
t_grundbuch.item.l_grundbuch.424;99.96;1;
t_grundbuch.item.l_grundbuch.425;99.96;1;
t_grundbuch.item.l_grundbuch.426;99.96;1;
t_grundbuch.item.l_grundbuch.427;99.96;1;
t_grundbuch.item.l_grundbuch.428;99.96;1;
t_grundbuch.item.l_grundbuch.429;99.96;1;
t_grundbuch.item.l_grundbuch.43;99.67;3;
t_grundbuch.item.l_grundbuch.430;99.96;1;
t_grundbuch.item.l_grundbuch.431;99.96;1;
t_grundbuch.item.l_grundbuch.432;99.96;1;
t_grundbuch.item.l_grundbuch.433;99.96;1;
t_grundbuch.item.l_grundbuch.434;99.96;1;
t_grundbuch.item.l_grundbuch.435;99.96;1;
t_grundbuch.item.l_grundbuch.436;99.96;1;
t_grundbuch.item.l_grundbuch.437;99.96;1;
t_grundbuch.item.l_grundbuch.438;99.96;1;
t_grundbuch.item.l_grundbuch.439;99.96;1;
t_grundbuch.item.l_grundbuch.44;99.67;3;
t_grundbuch.item.l_grundbuch.440;99.96;1;
t_grundbuch.item.l_grundbuch.441;99.96;1;
t_grundbuch.item.l_grundbuch.442;99.96;1;
t_grundbuch.item.l_grundbuch.443;99.96;1;
t_grundbuch.item.l_grundbuch.444;99.96;1;
t_grundbuch.item.l_grundbuch.445;99.96;1;
t_grundbuch.item.l_grundbuch.446;99.96;1;
t_grundbuch.item.l_grundbuch.447;99.96;1;
t_grundbuch.item.l_grundbuch.448;99.96;1;
t_grundbuch.item.l_grundbuch.449;99.96;1;
t_grundbuch.item.l_grundbuch.45;99.67;3;
t_grundbuch.item.l_grundbuch.450;99.96;1;
t_grundbuch.item.l_grundbuch.451;99.96;1;
t_grundbuch.item.l_grundbuch.452;99.96;1;
t_grundbuch.item.l_grundbuch.453;99.96;1;
t_grundbuch.item.l_grundbuch.454;99.96;1;
t_grundbuch.item.l_grundbuch.455;99.96;1;
t_grundbuch.item.l_grundbuch.456;99.96;1;
t_grundbuch.item.l_grundbuch.457;99.96;1;
t_grundbuch.item.l_grundbuch.458;99.96;1;
t_grundbuch.item.l_grundbuch.459;99.96;1;
t_grundbuch.item.l_grundbuch.46;99.71;3;
t_grundbuch.item.l_grundbuch.460;99.96;1;
t_grundbuch.item.l_grundbuch.461;99.96;1;
t_grundbuch.item.l_grundbuch.462;99.96;1;
t_grundbuch.item.l_grundbuch.463;99.96;1;
t_grundbuch.item.l_grundbuch.464;99.96;1;
t_grundbuch.item.l_grundbuch.465;99.96;1;
t_grundbuch.item.l_grundbuch.466;99.96;1;
t_grundbuch.item.l_grundbuch.467;99.96;1;
t_grundbuch.item.l_grundbuch.468;99.96;1;
t_grundbuch.item.l_grundbuch.469;99.96;1;
t_grundbuch.item.l_grundbuch.47;99.71;3;
t_grundbuch.item.l_grundbuch.470;99.96;1;
t_grundbuch.item.l_grundbuch.471;99.96;1;
t_grundbuch.item.l_grundbuch.472;99.96;1;
t_grundbuch.item.l_grundbuch.473;99.96;1;
t_grundbuch.item.l_grundbuch.474;99.96;1;
t_grundbuch.item.l_grundbuch.475;99.96;1;
t_grundbuch.item.l_grundbuch.476;99.96;1;
t_grundbuch.item.l_grundbuch.477;99.96;1;
t_grundbuch.item.l_grundbuch.478;99.96;1;
t_grundbuch.item.l_grundbuch.479;99.96;1;
t_grundbuch.item.l_grundbuch.48;99.71;3;
t_grundbuch.item.l_grundbuch.480;99.96;1;
t_grundbuch.item.l_grundbuch.481;99.96;1;
t_grundbuch.item.l_grundbuch.482;99.96;1;
t_grundbuch.item.l_grundbuch.483;99.96;1;
t_grundbuch.item.l_grundbuch.484;99.96;1;
