Ursprungsname;Anteil_NA;Anzahl_unters_Werte;Analysename
rnd_hg;0.07;66;
rohertragsvervielfaeltiger;8.85;1525;
sachwert_maf_geeignet;44.16;2;
sachwert_vorl;0.33;2171;
solaranlage_hg;86.77;2;
sondernutzungsrechte;45.96;1046;
sonst_jaehrl_mieteinnahmen;99.93;1;
summe_rechte_belastungen;94.58;3;
t_ertraege_wohnen.item.anzahl_raeume_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.anzahl_raeume_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.anzahl_raeume_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.anzahl_raeume_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.anzahl_raeume_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.anzahl_raeume_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.beginn_miete_t_er_woh;7.74;5;
t_ertraege_wohnen.item.beginn_miete_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.beginn_miete_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.beginn_miete_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.beginn_miete_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.beginn_miete_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.bkm_monat_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.bkm_monat_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.bkm_monat_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.bkm_monat_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.bkm_monat_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.bkm_monat_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.bm_monat_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.bm_monat_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.bm_monat_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.bm_monat_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.bm_monat_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.bm_monat_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.ende_miete_t_er_woh;7.74;1;
t_ertraege_wohnen.item.ende_miete_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.ende_miete_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.ende_miete_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.ende_miete_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.ende_miete_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.flaeche_ertraege_t_er_woh;7.74;1017;
t_ertraege_wohnen.item.flaeche_ertraege_t_er_woh.02;99.26;19;
t_ertraege_wohnen.item.flaeche_ertraege_t_er_woh.03;99.82;5;
t_ertraege_wohnen.item.flaeche_ertraege_t_er_woh.04;99.89;3;
t_ertraege_wohnen.item.flaeche_ertraege_t_er_woh.05;99.93;2;
t_ertraege_wohnen.item.flaeche_ertraege_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.l_finanzierungsart_t_er_woh;7.74;2;
t_ertraege_wohnen.item.l_finanzierungsart_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.l_finanzierungsart_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.l_finanzierungsart_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.l_finanzierungsart_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.l_finanzierungsart_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.l_geschossart_t_er_woh;7.74;411;
t_ertraege_wohnen.item.l_geschossart_t_er_woh.02;99.26;16;
t_ertraege_wohnen.item.l_geschossart_t_er_woh.03;99.82;5;
t_ertraege_wohnen.item.l_geschossart_t_er_woh.04;99.89;3;
t_ertraege_wohnen.item.l_geschossart_t_er_woh.05;99.93;2;
t_ertraege_wohnen.item.l_geschossart_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.l_geschosslage_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.l_geschosslage_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.l_geschosslage_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.l_geschosslage_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.l_geschosslage_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.l_geschosslage_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.l_nutzung_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.l_nutzung_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.l_nutzung_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.l_nutzung_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.l_nutzung_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.l_nutzung_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.l_nutzung_t_er_woh;7.74;11;
t_ertraege_wohnen.item.l_nutzung_t_er_woh.02;99.26;3;
t_ertraege_wohnen.item.l_nutzung_t_er_woh.03;99.82;2;
t_ertraege_wohnen.item.l_nutzung_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.l_nutzung_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.l_nutzung_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.markt_ueb_nkm_qm_t_er_woh;7.74;186;
t_ertraege_wohnen.item.markt_ueb_nkm_qm_t_er_woh.02;99.26;17;
t_ertraege_wohnen.item.markt_ueb_nkm_qm_t_er_woh.03;99.82;5;
t_ertraege_wohnen.item.markt_ueb_nkm_qm_t_er_woh.04;99.89;3;
t_ertraege_wohnen.item.markt_ueb_nkm_qm_t_er_woh.05;99.93;2;
t_ertraege_wohnen.item.markt_ueb_nkm_qm_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.markt_ueb_nkm_t_er_woh;7.74;1973;
t_ertraege_wohnen.item.markt_ueb_nkm_t_er_woh.02;99.26;20;
t_ertraege_wohnen.item.markt_ueb_nkm_t_er_woh.03;99.82;5;
t_ertraege_wohnen.item.markt_ueb_nkm_t_er_woh.04;99.89;3;
t_ertraege_wohnen.item.markt_ueb_nkm_t_er_woh.05;99.93;2;
t_ertraege_wohnen.item.markt_ueb_nkm_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.nk_monat_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.nk_monat_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.nk_monat_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.nk_monat_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.nk_monat_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.nk_monat_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.nkm_monat_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.nkm_monat_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.nkm_monat_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.nkm_monat_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.nkm_monat_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.nkm_monat_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.nkm_monat_qm_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.nkm_monat_qm_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.nkm_monat_qm_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.nkm_monat_qm_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.nkm_monat_qm_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.nkm_monat_qm_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.nm_monat_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.nm_monat_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.nm_monat_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.nm_monat_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.nm_monat_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.nm_monat_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.nr_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.nr_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.nr_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.nr_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.nr_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.nr_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.nuflaeche_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.nuflaeche_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.nuflaeche_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.nuflaeche_mp_t_er_woh.04;99.89;1;
